,cs_L3_2,dcs_L2,dcs_L3,dcs_L3_2,dr_2,dunem_L3_2,edcs_L1,edcs_L2,edcs_L2_2,spr,spr_2,spr_L3,spr_L3_2,syc_L3_2,tr10_2,y
1998-05-27,0.22825878464940766,0.0,0.0,0.0,0.1528003920887956,0.0,0.05921799792492995,0.059673917341777634,0.00015387888093458307,-0.0693188007005567,0.0019235128154199527,-0.26956844474119335,0.02911340091396512,4.2407156308622644e-05,2.85066230920573,0
1998-05-28,0.22825878464940766,0.0,0.0,0.0,0.15348993563633692,0.0,0.058767275458298726,0.059217989674744,0.00015153649655665156,-0.24812480394554426,0.024645257803149207,-0.11757983545241732,0.00553886182446559,4.2407156308622644e-05,2.8712075566855146,1
1998-05-29,0.22825878464940766,0.28355635202463497,0.0,0.0,0.15418103153752247,0.0,0.0583216793189187,0.05876726727090693,0.0001492385135592218,-0.4077345957173317,0.06655001047646288,-0.25723409222848387,0.02651013190045581,0.00016962862523450564,2.85066230920573,0
1998-05-30,0.2358040226262624,-0.28355635202463497,0.2835335057837174,0.002752731602961708,0.154873679792352,0.0,0.05788113206084661,0.05832167119360686,0.00014698392577194763,-0.4077345957173317,0.06655001047646288,-0.06928837091476658,0.0019234262372016847,0.00038166440677760377,2.85066230920573,1
1998-05-31,0.22825878464940766,0.28355635202463497,-0.2835335057837174,0.002752731602961708,0.15556788040082561,0.0,0.05744555769511802,0.057881123996911324,0.00014477175352532712,-0.37292764962883007,0.055672685585131214,-0.2480158813364257,0.024644148508481532,4.2407156308622644e-05,2.85066230920573,1
1998-06-01,0.2358040226262624,0.0,0.2835335057837174,0.002752731602961708,0.15626363336294358,0.0,0.05701488165702411,0.05744554969186647,0.00014260104285552846,-0.5800533079673446,0.1346879737086936,-0.40755560709834954,0.06654701502912996,0.00038166440677760377,2.8199827587724995,0
1998-06-02,0.2358040226262624,0.5671127040492951,0.0,0.0,0.15696093867870553,0.0,0.05658903077422861,0.057014873713773874,0.00014047086473664805,-0.5978126831997733,0.14306165774093813,-0.40755560709834954,0.06654701502912996,0.00038166440677760377,2.85066230920573,0
1998-06-03,0.2512625589690875,0.2835563520246098,0.56706701156746,0.01101092641184781,0.15765979634811164,0.0,0.05616793323554612,0.05658902289030745,0.00013838031433859263,-0.8087301979234159,0.2618184958137925,-0.3727639406728365,0.05567017973131754,0.00038166440677760377,2.86092571155986,1
1998-06-04,0.2591758573350564,-0.2835563520246098,0.28353350578369224,0.0027527316029612187,0.15836020637116188,4.233625597884274,0.05575151856085823,0.0561679254102918,0.00013632851030889368,-0.3270486568174509,0.042817148706159325,-0.5797986743364983,0.1346819113395259,4.240715630863018e-05,2.8815078445826945,0
1998-06-05,0.2512625589690875,-2.5184863263717808e-14,-0.28353350578369224,0.0027527316029612187,0.15906216874785623,0.0,0.05533971757149264,0.05575151079361834,0.000134314594079996,0.12070203306214233,0.005832062561651936,-0.5975502535023676,0.1430552184683061,0.00038166440677760377,2.8712075566855146,0
