Date,Open
2018-02-02,126.45
2018-02-01,120.59
2018-01-31,121.23
2018-01-30,122.85
2018-01-29,118.8
2018-01-26,117.99
2018-01-25,121.87
2018-01-24,120.2
2018-01-23,122.95
2018-01-22,127.18
2018-01-19,132.28
2018-01-18,131.41
2018-01-17,136.19
2018-01-16,128.65
2018-01-12,124.95
2018-01-11,126.1
2018-01-10,129.12
2018-01-09,126.37
2018-01-08,128.0
2018-01-05,127.03
2018-01-04,131.24
2018-01-03,133.43
2018-01-02,135.37
2017-12-29,137.05
2017-12-28,137.82
2017-12-27,138.43
2017-12-26,135.6
2017-12-22,134.4
2017-12-21,132.63
2017-12-20,133.15
2017-12-19,130.69
2017-12-18,132.72
2017-12-15,135.73
2017-12-14,134.03
2017-12-13,134.71
2017-12-12,133.02
2017-12-11,133.98
2017-12-08,132.54
2017-12-07,130.84
2017-12-06,130.98
2017-12-05,132.07
2017-12-04,132.14
2017-12-01,128.83
2017-11-30,128.9
2017-11-29,126.28
2017-11-28,124.08
2017-11-27,130.18
2017-11-24,130.98
2017-11-22,132.52
2017-11-21,133.56
2017-11-20,135.83
2017-11-17,137.19
2017-11-16,136.3
2017-11-15,135.21
2017-11-14,130.15
2017-11-13,129.75
2017-11-10,130.56
2017-11-09,128.95
2017-11-08,131.5
2017-11-07,129.15
2017-11-06,130.52
2017-11-03,130.34
2017-11-02,128.97
2017-11-01,129.05
2017-10-31,131.81
2017-10-30,132.54
2017-10-27,135.7
2017-10-26,135.36
2017-10-25,138.0
2017-10-24,142.15
2017-10-23,142.46
2017-10-20,148.81
2017-10-19,146.16
2017-10-18,147.95
2017-10-17,150.12
2017-10-16,147.53
2017-10-13,138.28
2017-10-12,136.36
2017-10-11,138.74
2017-10-10,139.24
2017-10-09,139.83
2017-10-06,140.35
2017-10-05,140.33
2017-10-04,144.19
2017-10-03,137.15
2017-10-02,138.02
2017-09-29,137.75
2017-09-28,132.99
2017-09-27,129.49
2017-09-26,134.25
2017-09-25,135.07
2017-09-22,137.5
2017-09-21,137.87
2017-09-20,138.94
2017-09-19,142.64
2017-09-18,143.65
2017-09-15,144.54
2017-09-13,142.74
2017-09-12,139.6
2017-09-11,136.96
2017-09-08,130.57
2017-09-07,135.39
2017-09-06,136.48
2017-09-05,133.48
2017-09-01,134.85
2017-08-31,134.0
2017-08-30,130.53
2017-08-29,131.48
2017-08-28,128.32
2017-08-25,130.16
2017-08-24,129.95
2017-08-23,129.98
2017-08-22,135.72
2017-08-21,131.61
2017-08-18,128.86
2017-08-17,142.73
2017-08-16,148.62
2017-08-15,143.23
2017-08-14,142.07
2017-08-11,135.43
2017-08-10,136.48
2017-08-09,141.2
2017-08-08,140.05
2017-08-07,138.91
2017-08-04,139.81
2017-08-03,138.32
2017-08-02,142.02
2017-08-01,138.72
2017-07-31,139.82
2017-07-28,139.91
2017-07-27,140.81
2017-07-26,135.61
2017-07-25,135.61
2017-07-24,132.67
2017-07-21,134.53
2017-07-20,130.88
2017-07-19,136.88
2017-07-18,137.53
2017-07-17,139.87
2017-07-14,137.71
2017-07-13,138.35
2017-07-12,134.95
2017-07-11,132.75
2017-07-10,133.4
2017-07-07,131.58
2017-07-06,127.25
2017-07-05,128.67
2017-07-03,126.63
2017-06-30,129.51
2017-06-29,129.15
2017-06-28,126.95
2017-06-27,125.46
2017-06-26,128.6
2017-06-23,132.76
2017-06-22,130.86
2017-06-21,129.89
2017-06-20,133.37
2017-06-19,138.77
2017-06-16,135.02
2017-06-15,134.12
2017-06-14,135.89
2017-06-13,136.41
2017-06-12,136.86
2017-06-09,131.26
2017-06-08,127.09
2017-06-07,125.98
2017-06-06,125.72
2017-06-05,125.05
2017-06-02,124.23
2017-06-01,124.55
2017-05-31,125.11
2017-05-30,125.37
2017-05-26,125.41
2017-05-25,123.65
2017-05-24,123.11
2017-05-23,124.54
2017-05-22,128.57
2017-05-19,131.39
2017-05-18,137.01
2017-05-17,133.51
2017-05-16,131.24
2017-05-15,129.44
2017-05-12,129.65
2017-05-11,128.21
2017-05-10,128.27
2017-05-09,128.28
2017-05-08,128.12
2017-05-05,131.36
2017-05-04,130.48
2017-05-03,129.39
2017-05-02,127.49
2017-05-01,128.46
2017-04-28,146.98
2017-04-27,142.55
2017-04-26,142.13
2017-04-25,139.04
2017-04-24,144.45
2017-04-21,148.42
2017-04-20,146.85
2017-04-19,140.2
2017-04-18,137.2
2017-04-17,139.63
2017-04-13,134.36
2017-04-12,131.93
2017-04-11,136.66
2017-04-10,132.86
2017-04-07,132.7
2017-04-06,131.27
2017-04-05,130.91
2017-04-04,132.28
2017-04-03,135.23
2017-03-31,138.31
2017-03-30,138.84
2017-03-29,132.37
2017-03-28,134.43
2017-03-27,135.37
2017-03-24,136.62
