,0
2016-05-20,1.1732913185827558
2016-05-23,1.2247976294764882
2016-05-24,1.192835346349116
2016-05-25,1.2032512382274367
2016-05-26,1.1379021689021829
2016-05-27,1.1430149483864256
2016-05-31,1.1372074442988718
2016-06-01,1.1228084257918056
2016-06-02,1.1135546834407137
2016-06-03,1.119894990846796
2016-06-06,1.1040891635164642
2016-06-07,1.106856870516461
2016-06-08,1.1036063825272513
2016-06-09,1.1137257053359662
2016-06-10,1.1388955154562275
2016-06-13,1.2258455695305477
2016-06-14,1.1897859544382456
2016-06-15,1.1885281082702996
2016-06-16,1.1870508096101509
2016-06-17,1.2163794488269803
2016-06-20,1.199332482343445
2016-06-21,1.1854991658954102
2016-06-22,1.1842764432227233
2016-06-23,1.1645242808570717
2016-06-24,0.7906229765512056
2016-06-27,0.35887297337170443
2016-06-28,0.3448860103319587
2016-06-29,0.3341098639299587
2016-06-30,0.33119323817823915
2016-07-01,0.3313793052199454
2016-07-05,0.33131327256420734
2016-07-06,0.3239141799217952
2016-07-07,0.3135014624596911
2016-07-08,0.30391397963091665
2016-07-11,0.30632614571854905
2016-07-12,0.2997556086054969
2016-07-13,0.29617699074861614
2016-07-14,0.2876132160993261
2016-07-15,0.290797294402922
2016-07-18,0.29027848575143456
2016-07-19,0.29403658435750235
2016-07-20,0.2847156156539211
2016-07-21,0.27546197226034513
2016-07-22,0.27419800579530457
2016-07-25,0.2769398702352234
2016-07-26,0.27763586389348544
2016-07-27,0.2783685970881122
2016-07-28,0.27631608209413205
2016-07-29,0.2721804272231987
2016-08-01,0.27306209047522545
2016-08-02,0.28100812157543437
2016-08-03,0.2622073922641611
2016-08-04,0.2603744161686312
2016-08-05,0.26450695932599894
2016-08-08,0.26727632311723315
2016-08-09,0.2661954365205375
2016-08-10,0.2671307685516665
2016-08-11,0.2645942843885423
2016-08-12,0.26543685041738585
2016-08-15,0.2616753479882717
2016-08-16,0.2536416867118479
2016-08-17,0.25179892377322644
2016-08-18,0.25176920168086775
2016-08-19,0.22950711015999414
2016-08-22,0.22581302418547772
2016-08-23,0.22557883582070704
2016-08-24,0.22146045933029312
2016-08-25,0.2018258851827274
2016-08-26,0.18281798900192073
2016-08-29,0.1827804291596947
2016-08-30,0.18283222314784464
2016-08-31,0.17147832047383008
2016-09-01,0.16344478809955668
2016-09-02,0.16241785776340972
2016-09-06,0.16129816542652287
2016-09-07,0.15666680095197422
2016-09-08,0.15207909786304663
2016-09-09,0.1584370640854506
2016-09-12,0.1536337332891697
2016-09-13,0.15877623152677994
2016-09-14,0.15736340483213826
2016-09-15,0.15622485208940898
2016-09-16,0.14713465725907934
2016-09-19,0.14821263239624857
2016-09-20,0.14657236612126784
2016-09-21,0.14378104322283333
2016-09-22,0.1405486614162174
2016-09-23,0.13580048030284247
2016-09-26,0.09390252981055555
2016-09-27,0.09142556621499807
2016-09-28,0.09180605210548855
2016-09-29,0.08581767525667891
2016-09-30,0.08224458936866817
2016-10-03,0.07449080132211393
2016-10-04,0.07385518553756934
2016-10-05,0.0638087550658795
2016-10-06,0.06117786890107538
2016-10-07,0.06066521395190499
2016-10-10,0.05842107190373788
2016-10-11,0.07084334211290201
2016-10-12,0.06943812616977138
2016-10-13,0.07067942752356081
2016-10-14,0.07339546963577306
2016-10-17,0.07389991170592927
2016-10-18,0.07053331685707037
2016-10-19,0.07029770349938975
2016-10-20,0.05959567405318158
2016-10-21,0.055143699917395365
2016-10-24,0.04881409719688779
2016-10-25,0.051231340948321664
2016-10-26,0.05954579516362053
2016-10-27,0.05955648405959473
2016-10-28,0.06325398909070908
2016-10-31,0.05778921202165474
2016-11-01,0.05899211217308618
2016-11-02,0.05125198258375483
2016-11-03,0.0544358363728612
2016-11-04,0.06020747941589316
2016-11-07,0.05707064963686725
2016-11-08,0.056202965848356885
2016-11-09,0.05444255133484987
2016-11-10,0.05136157225350492
2016-11-11,0.052510548414028434
2016-11-14,0.06345459454652357
2016-11-15,0.06270565175522784
2016-11-16,0.06367411149877977
2016-11-17,0.054488200379195474
2016-11-18,0.05274034978969356
2016-11-21,0.05243655463773936
2016-11-22,0.05337363642783866
2016-11-23,0.05197232521624305
2016-11-25,0.051993200830216815
2016-11-28,0.05202992722572214
2016-11-29,0.05137975715907488
2016-11-30,0.051507989744613104
2016-12-01,0.05766990099585912
2016-12-02,0.0546392169275802
2016-12-05,0.049500541193047844
2016-12-06,0.04841287504466578
2016-12-07,0.04609844057644415
2016-12-08,0.04517107219089743
2016-12-09,0.04472968516005748
2016-12-12,0.0468014829861961
2016-12-13,0.04652717945830804
2016-12-14,0.04474441035664897
2016-12-15,0.045378630566401124
2016-12-16,0.04508376489889747
2016-12-19,0.04520941781674147
2016-12-20,0.04380162009637925
2016-12-21,0.04376520624670421
2016-12-22,0.04103626091055273
2016-12-23,0.04005587725958474
2016-12-27,0.040154766392889625
2016-12-28,0.04071039467995537
2016-12-29,0.04037303243005541
2016-12-30,0.040547655573575356
2017-01-03,0.03995029385835573
2017-01-04,0.036392467050492046
2017-01-05,0.03666128348719
2017-01-06,0.033766819914194945
2017-01-09,0.03211495400795944
2017-01-10,0.032154099097969714
2017-01-11,0.03308596637267185
2017-01-12,0.027720405236884023
2017-01-13,0.025405187438218867
2017-01-17,0.0260166104060687
2017-01-18,0.025922295813083848
2017-01-19,0.025673472567689228
2017-01-20,0.02369533687781393
2017-01-23,0.023922876855311477
2017-01-24,0.023865895200149968
2017-01-25,0.021993682283678775
2017-01-26,0.02217225949748573
2017-01-27,0.021317547907300054
2017-01-30,0.021712062806269163
2017-01-31,0.020765162772276528
2017-02-01,0.020388255482308645
2017-02-02,0.020025373066264337
2017-02-03,0.019790937014758578
2017-02-06,0.01830965537666839
2017-02-07,0.018165370626114605
2017-02-08,0.018182884895564383
2017-02-09,0.016438727444131513
2017-02-10,0.015503407236650023
2017-02-13,0.015961149892896407
2017-02-14,0.016032126732523265
2017-02-15,0.01592847990775786
2017-02-16,0.015014911966785617
2017-02-17,0.01524512426489114
2017-02-21,0.014492010400457426
2017-02-22,0.014552470349967737
2017-02-23,0.014397228565548007
2017-02-24,0.014185828188305862
2017-02-27,0.011708599776901172
2017-02-28,0.011903093523632962
2017-03-01,0.011546312448752562
2017-03-02,0.0118849893241374
2017-03-03,0.010635635960299294
2017-03-06,0.010831498574387114
2017-03-07,0.010834553565271033
2017-03-08,0.009514050651290178
2017-03-09,0.009161017018036984
2017-03-10,0.009334220245796436
2017-03-13,0.006447879754493296
2017-03-14,0.006516099139038405
2017-03-15,0.0061833693295448595
2017-03-16,0.006144763769860579
2017-03-17,0.0054052681199218
2017-03-20,0.0048201356707549825
2017-03-21,0.005093487766647829
2017-03-22,0.004951246515528341
2017-03-23,0.004966611121880265
2017-03-24,0.004944574748118781
2017-03-27,0.004505226958522667
2017-03-28,0.004460339429851962
2017-03-29,0.004533031975362607
2017-03-30,0.004136087306859548
2017-03-31,0.004178188570278342
2017-04-03,0.004216752291273051
2017-04-04,0.004411002405512633
2017-04-05,0.00441511240657976
2017-04-06,0.0035823915385568093
2017-04-07,0.0035999938155131957
2017-04-10,0.003557240303862291
2017-04-11,0.003537150890221456
2017-04-12,0.0034615006974255493
2017-04-13,0.0035100470567693033
2017-04-17,0.0034045807467038146
2017-04-18,0.0034117635929280608
2017-04-19,0.003349535125157792
2017-04-20,0.0032650256270994058
2017-04-21,0.0032892575762586175
2017-04-24,0.002788514659622901
2017-04-25,0.0027616129256524263
2017-04-26,0.002671396821267023
2017-04-27,0.00254879418485935
2017-04-28,0.0026203187029956877
2017-05-01,0.002574903538237409
2017-05-02,0.002609553398892035
2017-05-03,0.002750852632807319
2017-05-04,0.004150841049572576
2017-05-05,0.0035981716765410153
2017-05-08,0.003707301438751892
2017-05-09,0.003596761566523995
2017-05-10,0.0031149415417396323
2017-05-11,0.003136552361357216
2017-05-12,0.0031189305785066295
2017-05-15,0.003090244222010923
2017-05-16,0.0030480112203469297
2017-05-17,0.003149034666831009
2017-05-18,0.003126715163195343
2017-05-19,0.0030481131449105717
2017-05-22,0.002631842042833886
2017-05-23,0.0024970636648196185
2017-05-24,0.0023725813294866727
2017-05-25,0.0023251108349380393
2017-05-26,0.002324903730142996
2017-05-30,0.0023787268644578784
2017-05-31,0.00238240720319552
2017-06-01,0.0023261282897828754
2017-06-02,0.00235480995182418
2017-06-05,0.0023295928842519786
2017-06-06,0.0023108179773126047
2017-06-07,0.002294030541944643
2017-06-08,0.002360840498050283
2017-06-09,0.002352501581797966
2017-06-12,0.0020156710452120677
2017-06-13,0.002013804261514659
2017-06-14,0.001754535717912342
2017-06-15,0.0017643939488173304
2017-06-16,0.0017348385105652735
2017-06-19,0.001679303447098155
2017-06-20,0.0015331336278457408
2017-06-21,0.0015344259015011245
2017-06-22,0.0014766656978649096
2017-06-23,0.0015500983765035395
2017-06-26,0.0010113899297764688
2017-06-27,0.0010179810129660684
2017-06-28,0.0008907565709608296
2017-06-29,0.0009173551728206408
2017-06-30,0.0009132699971591576
2017-07-03,0.0009115233044747996
2017-07-05,0.0009120822609786835
2017-07-06,0.0009724834043844674
2017-07-07,0.000922260534145047
2017-07-10,0.0009223042814169425
2017-07-11,0.000947252255962949
2017-07-12,0.0008310851719504611
2017-07-13,0.0008295790997001885
2017-07-14,0.0007966029368622299
2017-07-17,0.0007936078633087228
2017-07-18,0.0008480703590179395
2017-07-19,0.0008421563849615245
2017-07-20,0.0007218690670281522
2017-07-21,0.0006937127522573776
2017-07-24,0.0006940645333260848
2017-07-25,0.0010603708628345715
2017-07-26,0.0010137055278290016
2017-07-27,0.0010143808085712888
2017-07-28,0.0010186390979117128
2017-07-31,0.0009943508064696987
2017-08-01,0.0010224196001142744
2017-08-02,0.0010411681834673026
2017-08-03,0.0009878474587367756
2017-08-04,0.0010117303186174048
2017-08-07,0.0010387825476237543
2017-08-08,0.0013324347105852581
2017-08-09,0.0012626531310088972
2017-08-10,0.001659969736827816
2017-08-11,0.001657895728387157
2017-08-14,0.0015652832850761328
2017-08-15,0.0015469380417202098
2017-08-16,0.0014996433325448041
2017-08-17,0.0015578507127711773
2017-08-18,0.001584954587656411
2017-08-21,0.0013311150565639555
2017-08-22,0.0013010091920259614
2017-08-23,0.0013257701343840488
2017-08-24,0.0013259539129612248
2017-08-25,0.001322795075432473
2017-08-28,0.0012976015081761349
2017-08-29,0.001297816203727761
2017-08-30,0.001275389315822043
2017-08-31,0.0012265738177504669
2017-09-01,0.0012233174319191836
2017-09-05,0.001203804545021864
2017-09-06,0.0011742965130574815
2017-09-07,0.0010743707044744476
2017-09-08,0.0011083613276586348
2017-09-11,0.0008883359111700583
2017-09-12,0.0008514754730125292
2017-09-13,0.0008782909091263863
2017-09-14,0.0008798091301484068
2017-09-15,0.0008768065522485452
2017-09-18,0.0008837314226204309
2017-09-19,0.0009088996232866578
2017-09-20,0.0009060782557325403
2017-09-21,0.0009354071957659442
2017-09-22,0.0008080979461310931
2017-09-25,0.0008304076522593684
2017-09-26,0.0008236124968687196
2017-09-27,0.0008501173782156523
2017-09-28,0.000820472470667681
2017-09-29,0.0008256589927827239
2017-10-02,0.0006378562717379778
2017-10-03,0.0006310577488292084
2017-10-04,0.0006324296776292641
2017-10-05,0.0006330609349929539
2017-10-06,0.0006342035913654896
2017-10-09,0.00054136635338787
2017-10-10,0.0005100795673872877
2017-10-11,0.0003856959888905273
2017-10-12,0.0003897998085189357
2017-10-13,0.00035811372662501864
2017-10-16,0.00036065753267033586
2017-10-17,0.00036410746537263573
2017-10-18,0.000268176947924287
2017-10-19,0.000269628720192939
2017-10-20,0.0002636582646847496
2017-10-23,0.000266191550282999
2017-10-24,0.00029525359434071796
2017-10-25,0.0002972042122878102
2017-10-26,0.00025840624457217786
2017-10-27,0.0002615917358306488
2017-10-30,0.00029656582675188423
2017-10-31,0.00026983742811780465
2017-11-01,0.0002609069097194558
2017-11-02,0.00043349286755901514
2017-11-03,0.0003393124143545931
2017-11-06,0.0003071360453023437
2017-11-07,0.0004727331490384321
2017-11-08,0.00044458208990286803
2017-11-09,0.0004371312063891697
2017-11-10,0.00043025082761990774
2017-11-13,0.00026285531320512556
2017-11-14,0.00026415167108776
2017-11-15,0.0002614134198804997
2017-11-16,0.0002610890695724571
2017-11-17,0.0002562543325697791
2017-11-20,0.00022075397216389793
2017-11-21,0.0002214042229275821
2017-11-22,0.00022000064918775193
2017-11-24,0.0002212471304460388
2017-11-27,0.00022177850061696702
2017-11-28,0.00021897457286009796
2017-11-29,0.00021772702084094808
2017-11-30,0.00021734315074067404
2017-12-01,0.0001485755443472982
2017-12-04,0.00018350600605815094
2017-12-05,0.00018827936537005094
2017-12-06,0.00019132740227634495
2017-12-07,0.00015475619850769594
2017-12-08,0.00015412614908453504
2017-12-11,0.00015055351085503513
2017-12-12,0.00011985444128230698
2017-12-13,0.00011615858955648322
2017-12-14,0.00015019772873475703
2017-12-15,0.00011692968666449808
2017-12-18,0.00011687620480713905
2017-12-19,0.00011658379631533903
2017-12-20,0.00011585939308276194
2017-12-21,0.00011236974988954408
2017-12-22,0.00011164420803471301
2017-12-26,0.00011164038627362811
2017-12-27,0.00011370871838255401
2017-12-28,0.00011431745762912604
2017-12-29,0.0001153794473986211
2018-01-02,0.0001101152269631422
2018-01-03,0.00011046102881037611
2018-01-04,0.000114802654822515
2018-01-05,0.00011101164725214898
2018-01-08,7.751856143947507e-05
2018-01-09,8.0317638025723e-05
2018-01-10,0.00011428166738767712
2018-01-11,0.00011340630038779201
2018-01-12,0.00011466256068653197
2018-01-16,0.00011717256399684613
2018-01-17,0.00011791713795335896
2018-01-18,0.00011652936233850602
2018-01-19,0.00011309256947608092
2018-01-22,7.528485876102597e-05
2018-01-23,7.1823809000847e-05
2018-01-24,7.41207243910891e-05
2018-01-25,7.926914752532098e-05
2018-01-26,7.157097255013302e-05
2018-01-29,7.258285054648997e-05
2018-01-30,0.00011047482275297394
2018-01-31,0.000108696527707506
2018-02-01,0.00012586503553633103
2018-02-02,0.00016048320814977
2018-02-05,0.00031341641117297507
2018-02-06,0.0003400615382115446
2018-02-07,0.00030487475028194883
2018-02-08,0.0005562444080065204
2018-02-09,0.0005203804891523678
2018-02-12,0.0004878306254736971
2018-02-13,0.0004947151645207342
2018-02-14,0.0005443286132285121
2018-02-15,0.0001791527493427309
2018-02-16,0.0001863271688791599
2018-02-20,0.0001907079210590321
2018-02-21,0.00019148041899779404
2018-02-22,0.00015410213511922373
2018-02-23,0.0001498661171745211
2018-02-26,0.0001522988144191989
2018-02-27,0.0001933867073427758
2018-02-28,0.00023578317594919596
2018-03-01,0.00024181108736782395
2018-03-02,0.00019793676830774586
2018-03-05,0.00019525023337135607
2018-03-06,0.000193196760720404
2018-03-07,0.00019874185418983505
2018-03-08,0.00020306370028933996
2018-03-09,0.00021596655169733086
2018-03-12,0.00021361194101560986
2018-03-13,0.00022117326157410278
2018-03-14,0.00022809164947963808
2018-03-15,0.00023507417343759585
2018-03-16,0.00023420157366074712
2018-03-19,0.00029072773039854764
2018-03-20,0.00030149685910373975
2018-03-21,0.00030284046865304565
2018-03-22,0.0003464129594525057
2018-03-23,0.00038283707611488183
2018-03-26,0.0005121989563528972
2018-03-27,0.0006223213019235453
2018-03-28,0.0006196454006461581
2018-03-29,0.0007098802879674826
2018-04-02,0.0010219821610064183
2018-04-03,0.0009532129523854926
2018-04-04,0.0009418059193687581
2018-04-05,0.0009036865335828312
2018-04-06,0.0013168248834663405
2018-04-09,0.0012914818725300809
2018-04-10,0.0012175497900625035
2018-04-11,0.0012108687826649057
2018-04-12,0.0011814811335808786
2018-04-13,0.0011786949594611638
2018-04-16,0.001266712666903855
2018-04-17,0.0012036081091457128
2018-04-18,0.0012127985582601115
2018-04-19,0.0012160985666358538
2018-04-20,0.0012275989256093208
2018-04-23,0.0012353228833839895
2018-04-24,0.0012615363085376789
2018-04-25,0.001265602630135807
2018-04-26,0.001202556993848519
2018-04-27,0.0012008014704830343
2018-04-30,0.0012666931551319686
2018-05-01,0.0012747140040637902
2018-05-02,0.002302817471681178
2018-05-03,0.002282235941117157
2018-05-04,0.0021909472873851074
2018-05-07,0.002123827604208076
